Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(787 B),(13 B),(800 B),-399.90
12M 2008,"1,016 B",(28 B),988 B,493.96
12M 2009,895 B,(42 B),853 B,426.72
12M 2010,(253 B),(58 B),(311 B),-155.63
12M 2011,(453 B),(41 B),(495 B),-247.33
12M 2012,226 B,(17 B),209 B,104.64
12M 2013,(500 B),(12 B),(512 B),-255.98
12M 2014,(985 B),(50 B),"(1,035 B)",-517.33
12M 2015,95 B,(15 B),80 B,22.96
12M 2016,"(1,445 B)",(48 B),"(1,493 B)",-428.81
12M 2017,(787 B),(27 B),(814 B),-233.69
12M 2018,(215 B),(82 B),(297 B),-85.34
12M 2019,331 B,(38 B),293 B,84.28
12M 2020,"2,749 B",(24 B),"2,725 B",782.68
12M 2021,132 B,(33 B),99 B,28.41
12M 2022,(113 B),(38 B),(152 B),-43.56
12M 2023,(686 B),(64 B),(750 B),-215.40
12M 2024,240 B,(32 B),208 B,59.76
