Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,651 B,(555 B),96 B,146.68
12M 2009,808 B,(68 B),740 B,1130.99
12M 2010,551 B,(180 B),371 B,566.64
12M 2011,444 B,(598 B),(154 B),-234.92
12M 2012,252 B,(429 B),(177 B),-270.25
12M 2013,459 B,(677 B),(218 B),-333.19
12M 2014,572 B,(809 B),(237 B),-362.15
12M 2015,(412 B),(823 B),"(1,235 B)",-1887.55
12M 2016,945 B,(832 B),113 B,172.50
12M 2017,972 B,(142 B),830 B,1268.32
12M 2018,814 B,(275 B),539 B,823.18
12M 2019,589 B,(684 B),(96 B),-146.14
12M 2020,194 B,(398 B),(204 B),-311.88
12M 2021,"1,444 B",(562 B),882 B,1348.00
12M 2022,344 B,(639 B),(296 B),-451.78
12M 2023,749 B,(537 B),212 B,323.87
12M 2024,520 B,(336 B),184 B,281.02
