Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.05,0.69,0.7,2.5,0.0,0.0,0.65,0.28,1.5
12M 2009,1.12,0.74,0.34,2.14,0.0,0.0,0.31,0.06,1.14
12M 2010,1.09,0.71,0.16,1.98,0.0,0.0,0.12,0.08,0.97
12M 2011,1.1,0.69,0.31,2.31,0.0,0.0,0.29,0.14,1.3
12M 2012,1.12,0.68,0.37,2.35,0.0,0.0,0.31,0.16,1.34
12M 2013,1.12,0.7,0.44,2.5,0.0,0.0,0.38,0.18,1.49
12M 2014,1.08,0.61,0.52,2.47,0.0,0.0,0.48,0.21,1.46
12M 2015,1.14,0.62,0.99,2.75,0.0,0.0,0.9,0.36,1.74
12M 2016,1.16,0.65,1.04,2.87,0.0,0.0,0.97,0.36,1.85
12M 2017,1.04,0.58,0.92,2.85,0.0,0.0,0.84,0.32,1.84
12M 2018,1.04,0.51,0.55,2.31,0.0,0.0,0.45,0.24,1.31
12M 2019,1.04,0.47,0.4,2.03,0.0,0.0,0.35,0.2,1.03
12M 2020,1.09,0.55,0.5,2.03,0.0,0.0,0.4,0.25,1.03
12M 2021,1.24,0.69,0.33,1.97,0.0,0.0,0.22,0.17,0.96
12M 2022,1.39,0.61,0.29,1.89,0.0,0.0,0.22,0.15,0.88
12M 2023,1.01,0.39,0.29,2.0,0.0,0.0,0.26,0.14,0.99
12M 2024,1.07,0.51,0.3,1.98,0.0,0.0,0.23,0.15,0.97
