Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,181 B,(102 B),79 B,163.00
12M 2014,98 B,(197 B),(99 B),-205.69
12M 2015,117 B,(299 B),(182 B),-375.64
12M 2016,165 B,(213 B),(48 B),34.07
12M 2017,21 B,(97 B),(76 B),-15.75
12M 2018,43 B,(103 B),(60 B),-12.33
12M 2019,137 B,(175 B),(38 B),-7.96
12M 2020,227 B,(131 B),96 B,19.94
12M 2021,245 B,(150 B),95 B,19.77
12M 2022,229 B,(213 B),16 B,3.16
12M 2023,631 B,(343 B),287 B,5.29
12M 2024,504 B,(283 B),220 B,4.06
