Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,2.74,,1.65
12M 2014,44.49,197.18,47.31,194.36,8.2,17.0,1.85,3.3,3.39,7.1,0.84,1.63,2.25,2.25,2.08
12M 2015,50.62,236.21,45.78,241.05,7.21,7.73,1.55,1.47,2.66,2.58,0.67,0.67,2.28,2.28,2.27
12M 2016,54.44,239.46,47.21,246.69,6.7,6.46,1.52,1.51,1.95,1.73,0.57,0.55,1.22,1.22,3.77
12M 2017,65.58,227.59,48.01,245.16,5.57,5.58,1.6,1.48,1.65,1.62,0.52,0.52,1.38,1.38,3.61
12M 2018,65.05,198.65,34.23,229.47,5.61,5.72,1.84,1.68,1.86,1.86,0.6,0.6,1.59,1.59,3.56
12M 2019,66.77,203.63,35.85,234.55,5.47,5.63,1.79,1.72,1.86,1.8,0.61,0.6,2.15,2.15,2.45
12M 2020,66.54,187.35,47.1,206.79,5.49,5.53,1.95,1.92,2.04,1.94,0.69,0.67,2.75,2.75,2.07
12M 2021,60.45,176.46,54.02,182.89,6.04,6.1,2.07,1.89,2.44,2.44,0.8,0.79,3.0,3.0,2.16
12M 2022,55.64,170.89,50.91,175.62,6.56,6.14,2.14,2.01,2.8,2.77,0.89,0.85,2.71,2.71,2.45
12M 2023,55.3,163.22,46.11,172.41,6.6,6.66,2.24,2.35,3.13,3.0,0.96,0.96,2.76,2.76,2.57
12M 2024,61.66,168.34,42.89,187.11,5.92,6.0,2.17,2.07,2.84,2.61,0.9,0.89,2.88,2.88,2.57
