Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.48 B,294.19,0.00,0.00,,8.65%,20.72%,58.86%,10.78
12M 2014,0.48 B,365.16,13.97,1.74,,10.16%,21.47%,35.35%,11.50
12M 2015,0.48 B,158.88,58.22,3.90,,4.58%,8.71%,17.47%,5.00
12M 2016,4.83 B,21.22,48.30,4.36,,4.51%,10.48%,13.25%,4.73
12M 2017,4.83 B,18.05,60.39,4.42,,3.80%,8.31%,8.15%,2.08
12M 2018,4.83 B,17.88,52.57,3.26,219.94 B,3.65%,7.75%,7.93%,2.19
12M 2019,4.83 B,21.45,48.95,3.39,285.27 B,4.15%,8.80%,10.65%,3.04
12M 2020,4.83 B,25.87,51.22,3.56,317.50 B,4.64%,10.03%,11.57%,3.58
12M 2021,4.83 B,39.74,64.17,5.53,406.53 B,6.72%,13.01%,14.45%,6.25
12M 2022,4.93 B,62.31,56.49,6.18,555.65 B,8.95%,15.31%,18.13%,9.61
12M 2023,54.27 B,8.25,47.03,5.80,772.96 B,10.91%,19.70%,22.01%,10.26
12M 2024,54.27 B,9.94,37.22,5.18,949.18 B,12.07%,28.47%,23.11%,9.80
