Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.58,1.75,2.24,3.65,0.0,0.0,2.16,0.61,2.65
12M 2009,2.37,1.69,2.13,3.63,0.0,0.0,1.95,0.59,2.63
12M 2010,2.19,1.51,2.06,3.45,0.0,0.0,1.82,0.6,2.45
12M 2011,1.92,1.4,2.09,3.46,0.0,0.0,1.84,0.6,2.46
12M 2012,2.41,1.74,2.12,3.46,0.0,0.0,1.88,0.61,2.46
12M 2013,2.33,1.6,2.04,3.26,0.0,0.0,1.89,0.62,2.26
12M 2014,1.9,1.34,1.73,2.91,0.0,0.0,1.58,0.59,1.91
12M 2015,1.43,0.96,1.59,2.81,0.0,0.0,1.54,0.57,1.81
12M 2016,1.39,0.81,1.45,2.66,0.0,0.0,1.33,0.55,1.66
12M 2017,1.44,0.96,1.42,2.59,0.0,0.0,1.29,0.55,1.59
12M 2018,1.7,1.1,1.23,2.4,0.0,0.0,1.1,0.51,1.4
12M 2019,1.63,1.16,1.04,2.21,0.0,0.0,0.91,0.47,1.21
12M 2020,1.38,0.95,0.43,2.03,0.0,0.0,0.33,0.21,1.03
12M 2021,1.19,0.77,0.4,1.8,0.0,0.0,0.28,0.22,0.8
12M 2022,1.23,0.82,0.31,1.6,0.0,0.0,0.22,0.19,0.6
12M 2023,1.24,0.88,0.3,1.51,0.0,0.0,0.23,0.2,0.51
12M 2024,1.31,0.89,0.25,1.44,0.0,0.0,0.18,0.17,0.44
