Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,1.0,0.46,0.4,2.81,0.0,0.0,0.13,0.14,1.81
12M 2016,1.64,0.98,0.0,2.0,0.0,0.0,-0.56,0.0,1.0
12M 2017,1.57,0.87,0.0,2.28,0.0,0.0,-0.58,0.0,1.28
12M 2018,1.21,0.65,0.0,2.52,0.0,0.0,-0.45,0.0,1.52
12M 2019,0.78,0.28,0.0,4.31,0.0,0.0,-0.41,0.0,3.31
12M 2020,0.68,0.32,0.58,5.9,0.0,0.0,-0.06,0.1,4.9
12M 2021,0.67,0.26,2.38,9.58,0.0,0.0,1.51,0.25,8.58
12M 2022,0.71,0.29,4.58,20.2,0.0,0.0,2.53,0.23,19.2
12M 2023,0.73,0.34,2.44,39.17,0.0,0.0,-4.05,0.06,38.17
12M 2024,0.77,0.33,2.14,15.46,0.0,0.0,0.19,0.14,14.46
