Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,1.60 B,-22.03,-0.00,0.00,,-27.76%,-78.09%,-88.63%,-2.16
12M 2016,2.08 B,-11.61,-16.80,1.71,,-12.11%,-24.23%,-25.46%,-14.14
12M 2017,2.23 B,-1.79,-105.59,1.16,,-1.44%,-3.29%,-3.71%,
12M 2018,2.42 B,2.15,97.67,0.93,18.00 B,1.26%,3.18%,1.11%,
12M 2019,2.42 B,7.66,39.16,0.66,105.04 B,2.54%,10.93%,9.33%,1.80
12M 2020,2.42 B,-20.17,-19.34,1.07,82.30 B,-6.89%,-40.63%,-9.77%,-1.49
12M 2021,2.42 B,-21.36,-14.23,0.76,103.98 B,-7.50%,-71.87%,-7.40%,-0.58
12M 2022,2.42 B,-16.53,-12.83,0.44,115.03 B,-5.82%,-117.58%,-10.72%,-0.71
12M 2023,2.42 B,-6.69,-43.05,0.45,129.17 B,-2.35%,-91.94%,4.09%,0.31
12M 2024,2.42 B,18.87,39.75,0.88,213.29 B,4.68%,72.41%,61.42%,5.48
