Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,908 B",(18 B),"1,890 B",795.17
12M 2009,"1,810 B",,"1,810 B",761.35
12M 2010,"2,562 B",(32 B),"2,529 B",1064.20
12M 2011,"3,985 B",(81 B),"3,905 B",1642.70
12M 2012,"4,193 B",(129 B),"4,064 B",1628.35
12M 2013,43 B,(103 B),(60 B),-24.16
12M 2014,98 B,(141 B),(43 B),-17.20
12M 2015,39 B,,(50 B),-19.88
12M 2016,187 B,(167 B),20 B,8.11
12M 2017,253 B,(34 B),219 B,87.60
12M 2018,(17 B),(69 B),(85 B),-34.25
12M 2019,115 B,(105 B),10 B,4.04
12M 2020,190 B,(81 B),109 B,43.83
12M 2021,(26 B),(117 B),(143 B),-57.23
12M 2022,102 B,(36 B),66 B,26.51
12M 2023,34 B,(17 B),17 B,7.00
12M 2024,441 B,(0 B),441 B,176.85
