Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(7 B),(1 B),(8 B),-140.99
12M 2012,(8 B),(9 B),(17 B),-308.75
12M 2013,1 B,(5 B),(4 B),-70.31
12M 2014,5 B,(16 B),(11 B),-51.81
12M 2015,9 B,(7 B),1 B,6.74
12M 2016,(0 B),,(0 B),-0.96
12M 2017,403 B,(65 B),338 B,31.63
12M 2018,(125 B),(59 B),(184 B),-17.26
12M 2019,(972 B),(34 B),"(1,007 B)",-94.21
12M 2020,110 B,(13 B),97 B,9.11
12M 2021,32 B,(5 B),26 B,2.48
12M 2022,499 B,(13 B),486 B,45.50
12M 2023,395 B,(20 B),375 B,35.12
12M 2024,891 B,(38 B),853 B,79.79
