Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,2.83,2.74,1.43,2.16,0.0,0.0,1.32,0.66,0.99
12M 2012,2.24,2.23,2.2,2.61,0.0,0.0,2.17,0.84,1.43
12M 2013,1.72,1.72,1.44,2.14,0.0,0.0,1.31,0.67,1.13
12M 2014,0.63,0.63,3.22,6.01,0.0,0.0,3.01,0.54,4.61
12M 2015,0.77,0.77,3.48,8.29,0.0,0.0,3.31,0.42,6.93
12M 2016,1.01,1.01,3.03,7.22,0.0,0.0,2.75,0.42,5.87
12M 2017,0.26,0.24,54.65,95.22,0.0,0.0,47.0,0.57,94.08
12M 2018,0.16,0.14,-1.73,-3.53,-0.0,0.0,-1.55,0.49,-4.52
12M 2019,0.47,0.44,2.24,13.25,0.0,0.0,0.66,0.17,12.22
12M 2020,0.03,0.02,-1.4,-2.09,-0.0,0.0,-1.39,0.67,-3.08
12M 2021,0.03,0.02,-0.74,-0.99,-0.0,0.0,-0.73,0.75,-1.99
12M 2022,0.04,0.03,-0.71,-0.79,-0.0,0.0,-0.71,0.9,-1.78
12M 2023,0.04,0.03,-0.69,-0.77,-0.0,0.0,-0.69,0.9,-1.77
12M 2024,0.05,0.03,-0.63,-0.61,-0.0,0.0,-0.63,1.05,-1.6
