Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,6 B,(96 B),(90 B),-54.80
12M 2009,(0 B),(1 B),(1 B),-0.56
12M 2010,2 B,(1 B),1 B,0.49
12M 2011,(58 B),(0 B),(58 B),-30.64
12M 2012,1 B,7 B,7 B,3.76
12M 2013,1 B,(52 B),(52 B),-17.05
12M 2014,21 B,(7 B),14 B,4.76
12M 2015,44 B,18 B,62 B,13.26
12M 2016,24 B,(70 B),(46 B),-9.90
12M 2017,6 B,(83 B),(77 B),-16.40
12M 2018,103 B,(41 B),61 B,13.16
12M 2019,124 B,(32 B),92 B,19.77
12M 2020,125 B,(28 B),97 B,19.23
12M 2021,113 B,(3 B),110 B,21.80
12M 2022,35 B,(62 B),(27 B),-5.38
12M 2023,84 B,(184 B),(99 B),-19.77
12M 2024,(93 B),(24 B),(117 B),-23.33
