Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(24 B),(10 B),(34 B),-46.22
12M 2009,(11 B),(6 B),(18 B),-24.40
12M 2010,(15 B),(2 B),(17 B),-23.34
12M 2011,(11 B),(2 B),(12 B),-17.12
12M 2012,2 B,(1 B),1 B,1.30
12M 2013,(54 B),(3 B),(57 B),-77.87
12M 2014,(5 B),(4 B),(9 B),-12.46
12M 2015,(69 B),(3 B),(71 B),-98.13
12M 2016,(27 B),(8 B),(35 B),-48.68
12M 2017,(21 B),(7 B),(27 B),-21.45
12M 2018,(127 B),(6 B),(133 B),-104.66
12M 2019,(25 B),(11 B),(36 B),-28.32
12M 2020,72 B,(4 B),68 B,53.28
12M 2021,(18 B),(4 B),(23 B),-17.78
12M 2022,(110 B),(15 B),(125 B),-97.82
12M 2023,(92 B),(22 B),(113 B),-88.83
12M 2024,(125 B),(14 B),(140 B),-109.58
