Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.92 B,125.95,2.10,0.06,,7.58%,30.53%,44.76%,2.42
12M 2009,0.92 B,57.71,5.89,0.07,,3.62%,13.53%,16.06%,1.86
12M 2010,0.92 B,118.30,5.75,0.11,,6.24%,23.70%,22.57%,4.05
12M 2011,0.92 B,112.39,9.79,0.16,,5.11%,20.05%,26.70%,3.52
12M 2012,0.92 B,122.39,14.30,0.21,,4.77%,19.76%,26.59%,3.52
12M 2013,0.92 B,141.27,21.24,0.34,,5.25%,20.55%,28.44%,3.80
12M 2014,0.92 B,175.65,16.51,0.28,,6.53%,22.30%,31.19%,3.38
12M 2015,0.92 B,200.64,13.71,0.27,,6.96%,22.15%,31.97%,3.72
12M 2016,0.92 B,217.10,15.11,0.31,,7.42%,21.36%,25.51%,4.57
12M 2017,0.92 B,266.11,9.77,0.24,,8.36%,22.88%,26.20%,12.51
12M 2018,0.92 B,337.24,9.93,0.24,475.74 B,8.89%,25.02%,30.21%,13.87
12M 2019,0.92 B,466.43,10.40,0.33,569.10 B,14.30%,30.78%,33.18%,43.92
12M 2020,0.92 B,521.03,13.96,0.54,647.17 B,14.23%,29.93%,32.47%,118.73
12M 2021,0.92 B,523.79,13.36,0.54,654.92 B,14.13%,27.33%,29.62%,120.39
12M 2022,0.92 B,520.57,13.64,0.50,652.19 B,11.43%,24.24%,26.79%,126.26
12M 2023,0.92 B,497.59,12.96,0.42,622.81 B,10.01%,21.85%,22.60%,80.15
12M 2024,0.92 B,449.04,13.36,0.41,568.90 B,8.82%,18.56%,17.67%,27.48
