Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(1 B),(0 B),(0 B),-12108.56
12M 2009,67 B,(196 B),(129 B),-51.77
12M 2010,15 B,(30 B),,-6.04
12M 2011,214 B,(36 B),,71.38
12M 2012,"1,252 B",(87 B),"1,166 B",466.15
12M 2013,(929 B),(63 B),(929 B),-396.66
12M 2014,59 B,(34 B),26 B,10.22
12M 2015,(6 B),0 B,,-2.37
12M 2016,(33 B),27 B,(6 B),-2.29
12M 2017,41 B,(39 B),41 B,0.98
12M 2018,1 B,,1 B,0.23
12M 2019,37 B,(39 B),37 B,-0.90
12M 2020,(12 B),(8 B),(12 B),-8.22
12M 2021,14 B,(0 B),14 B,5.57
12M 2022,42 B,(8 B),42 B,13.72
12M 2023,139 B,(0 B),139 B,55.45
12M 2024,(115 B),(0 B),,-45.90
