Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,7.74 B,59.57,8.16,0.78,,0.85%,10.76%,2.30%,
12M 2009,7.74 B,62.78,12.66,1.01,,0.87%,10.05%,1.34%,
12M 2010,9.03 B,111.15,16.50,2.53,,1.36%,12.68%,1.66%,
12M 2011,9.03 B,128.06,10.89,1.47,,1.14%,12.66%,1.64%,
12M 2012,10.68 B,128.15,10.81,1.46,,1.04%,10.95%,1.50%,
12M 2013,10.68 B,161.66,8.20,1.09,,1.04%,12.22%,1.34%,
12M 2014,11.88 B,133.54,11.84,1.12,,0.86%,9.28%,1.17%,
12M 2015,11.88 B,20.79,47.76,0.67,,0.14%,1.31%,0.16%,
12M 2016,22.34 B,-290.20,-1.90,0.79,,-3.92%,-33.61%,-4.96%,
12M 2017,28.04 B,26.69,23.42,1.41,,0.50%,3.48%,0.61%,
12M 2018,28.04 B,32.14,19.45,1.44,"1,471.72 B",0.59%,4.01%,0.81%,
12M 2019,28.04 B,53.50,23.64,2.76,"2,230.21 B",0.93%,6.24%,1.28%,
12M 2020,28.04 B,25.73,117.37,6.51,"2,021.09 B",0.36%,2.06%,0.90%,
12M 2021,36.18 B,34.03,45.11,4.21,"1,962.76 B",0.53%,3.36%,0.72%,
12M 2022,36.18 B,55.65,18.24,2.56,"3,007.43 B",0.79%,5.35%,1.07%,
12M 2023,36.18 B,71.45,12.88,1.89,"3,698.63 B",1.00%,6.46%,1.31%,
12M 2024,36.18 B,98.57,9.59,1.82,"4,978.60 B",1.38%,8.37%,1.78%,
