Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"3,718 B",(102 B),"3,616 B",466.95
12M 2009,"(4,633 B)",(36 B),"(4,669 B)",-602.96
12M 2010,"4,374 B",(321 B),"4,052 B",448.59
12M 2011,"6,086 B",(61 B),"6,025 B",666.93
12M 2012,"3,404 B",(129 B),"3,275 B",306.75
12M 2013,"(1,906 B)",(312 B),"(2,218 B)",-207.78
12M 2014,"5,992 B",(247 B),"5,746 B",483.50
12M 2015,"1,808 B",(194 B),"1,615 B",135.88
12M 2016,"5,333 B",(187 B),"5,146 B",230.35
12M 2017,"(13,394 B)",(282 B),"(13,676 B)",-487.69
12M 2018,"(4,699 B)",(199 B),"(4,898 B)",-174.65
12M 2019,"(1,880 B)",(138 B),"(2,018 B)",-71.94
12M 2020,"1,149 B",(473 B),676 B,24.10
12M 2021,"34,808 B",(399 B),"34,409 B",951.02
12M 2022,"17,024 B",(510 B),"16,514 B",456.42
12M 2023,"(31,514 B)",(487 B),"(32,001 B)",-884.45
12M 2024,"7,877 B",(697 B),"7,180 B",198.44
