Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,-13.62,,0.82
12M 2010,33.99,44.67,28.26,50.4,10.74,,8.17,,4.1,,1.42,,-3.67,,0.45
12M 2011,55.8,44.45,29.52,70.73,6.54,8.92,8.21,11.52,3.2,4.88,0.56,0.69,3.32,3.29,1.53
12M 2012,55.41,67.95,30.9,92.46,6.59,5.76,5.37,3.8,2.11,1.79,0.36,0.33,-1.06,-1.06,0.39
12M 2013,30.99,40.32,58.27,13.04,11.78,11.38,9.05,7.16,2.11,1.87,0.41,0.36,-0.91,-0.91,0.26
12M 2014,128.78,51.63,216.29,-35.88,2.83,2.93,7.07,7.23,0.62,0.62,0.12,0.12,-0.39,-0.39,0.33
12M 2015,163.95,46.45,245.2,-34.8,2.23,2.52,7.86,4.95,0.41,0.36,0.08,0.07,-0.18,-0.18,0.2
12M 2016,238.12,83.3,382.01,-60.59,1.53,2.13,4.38,5.1,0.16,0.16,0.03,0.03,-0.07,-0.07,0.18
12M 2017,84.43,48.58,262.32,-129.31,4.32,3.15,7.51,5.24,0.42,0.42,0.09,0.09,-0.2,-0.2,0.22
12M 2018,89.57,52.56,229.03,-86.9,4.08,3.3,6.94,5.59,0.52,0.48,0.11,0.11,-0.21,-0.21,0.23
12M 2019,64.14,37.58,151.24,-49.52,5.69,4.94,9.71,9.95,0.8,0.84,0.18,0.17,-0.32,-0.32,0.24
12M 2020,76.68,42.24,170.24,-51.32,4.76,4.16,8.64,10.32,0.58,0.56,0.12,0.12,-0.19,-0.19,0.21
12M 2021,39.91,22.73,76.34,-13.7,9.15,6.32,16.06,16.58,1.55,1.55,0.32,0.31,-1.23,-1.23,0.44
12M 2022,35.96,21.07,45.02,12.01,10.15,6.05,17.32,12.83,3.34,3.28,0.6,0.57,-4.19,-4.19,0.72
12M 2023,59.47,31.35,55.36,35.46,6.14,5.03,11.64,9.79,3.76,3.76,0.57,0.55,-3.0,-3.0,0.7
12M 2024,73.87,53.29,70.77,56.39,4.94,4.56,6.85,5.36,3.93,3.94,0.55,0.52,-2.53,-2.53,0.69
