Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.57 B,,0.00,21.87,,0.00%,0.01%,59.62%,1.82
12M 2009,2.57 B,3.48,250.57,32.75,,8.16%,31.23%,0.83%,0.13
12M 2010,2.57 B,1.57,545.22,25.80,,3.51%,11.35%,9.06%,2.35
12M 2011,2.57 B,10.71,75.44,14.88,,23.29%,43.75%,49.76%,19.15
12M 2012,2.57 B,8.61,152.85,22.39,,14.87%,23.30%,29.81%,82.81
12M 2013,2.57 B,8.57,138.74,21.80,,14.01%,19.72%,22.01%,41.83
12M 2014,1.28 B,6.22,29.74,1.40,,2.20%,2.89%,3.56%,16.50
12M 2015,1.28 B,-136.70,-0.91,5.07,,-70.47%,-151.60%,-23.15%,-481.03
12M 2016,1.28 B,-17.68,-3.45,3.28,,-9.89%,-24.48%,-12.90%,
12M 2017,1.41 B,-16.72,-2.99,2.46,,-10.10%,-26.93%,-2.18%,-0.16
12M 2018,1.41 B,5.65,8.85,2.02,0.84 B,5.38%,9.80%,-0.07%,-0.23
12M 2019,1.41 B,-63.72,-0.80,0.00,(9.26 B),-157.36%,1128.76%,-16.32%,
12M 2020,1.41 B,1.62,79.63,0.00,(5.31 B),8.31%,-32.98%,-404.61%,
12M 2021,2.44 B,4.17,55.64,12.24,6.14 B,6.48%,8.96%,6.71%,37.32
12M 2022,3.54 B,4.31,39.44,4.94,16.69 B,3.21%,4.22%,5.08%,28.09
12M 2023,3.54 B,10.88,17.46,2.19,68.09 B,7.78%,9.75%,13.34%,145.61
12M 2024,3.54 B,1.84,86.41,1.92,27.67 B,1.32%,1.66%,3.50%,27.60
