Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,1 B,(1 B),0 B,0.17
12M 2009,23 B,(3 B),20 B,7.84
12M 2010,14 B,(1 B),13 B,5.11
12M 2011,23 B,(0 B),23 B,8.92
12M 2012,22 B,(10 B),12 B,4.57
12M 2013,24 B,(0 B),24 B,9.45
12M 2014,12 B,(1 B),11 B,8.63
12M 2015,(8 B),(1 B),(10 B),-7.65
12M 2016,(9 B),,(9 B),-7.36
12M 2017,3 B,(0 B),3 B,2.43
12M 2018,0 B,(0 B),0 B,0.24
12M 2019,(14 B),(0 B),(14 B),-9.75
12M 2020,(2 B),,(2 B),-1.69
12M 2021,2 B,(8 B),(6 B),-2.64
12M 2022,13 B,(3 B),10 B,2.75
12M 2023,50 B,(8 B),41 B,11.61
12M 2024,11 B,(7 B),4 B,1.02
