Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2007,,,0.00,0.00,,0.00%,0.00%,0.00%,18.46
12M 2008,20.16 B,727.83,9.48,2.18,,16.08%,42.76%,65.99%,13.40
12M 2009,20.16 B,792.47,11.92,2.82,,16.38%,40.98%,35.41%,11.96
12M 2010,20.16 B,787.22,10.10,2.34,,15.91%,35.73%,30.56%,11.90
12M 2011,20.16 B,543.90,12.96,1.99,,10.64%,23.08%,27.42%,13.41
12M 2012,20.16 B,637.40,14.20,2.37,,11.54%,24.93%,30.57%,12.51
12M 2013,100.80 B,140.92,15.26,2.61,,11.10%,23.46%,29.82%,18.51
12M 2014,100.80 B,145.22,19.73,3.22,,10.39%,21.59%,28.16%,16.19
12M 2015,100.80 B,153.66,20.21,3.05,,9.32%,20.61%,27.03%,13.07
12M 2016,100.80 B,191.98,20.73,3.45,,10.77%,22.93%,28.97%,13.95
12M 2017,100.80 B,219.69,20.21,3.49,,11.16%,23.89%,29.99%,15.87
12M 2018,99.06 B,182.03,20.60,2.84,"60,251.00 B",8.75%,18.23%,24.82%,11.08
12M 2019,99.06 B,188.40,21.07,2.90,"65,572.00 B",8.44%,18.75%,26.27%,10.00
12M 2020,99.06 B,210.01,15.76,2.40,"72,397.00 B",8.42%,20.29%,25.54%,9.62
12M 2021,99.06 B,249.94,16.16,2.79,"79,379.00 B",8.93%,20.35%,24.65%,10.90
12M 2022,99.06 B,209.49,17.90,2.52,"72,836.00 B",7.54%,16.06%,19.17%,9.81
12M 2023,99.06 B,247.92,15.93,2.62,"77,047.00 B",8.56%,18.09%,21.12%,9.54
12M 2024,99.06 B,238.73,11.35,1.79,"75,634.00 B",7.89%,16.64%,19.61%,8.25
