Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,129 B,(19 B),110 B,410.72
12M 2009,135 B,(48 B),87 B,322.17
12M 2010,151 B,(143 B),8 B,31.23
12M 2011,153 B,(285 B),(132 B),-491.50
12M 2012,195 B,(73 B),122 B,453.37
12M 2013,294 B,(418 B),(123 B),-458.55
12M 2014,293 B,(33 B),260 B,966.96
12M 2015,287 B,(57 B),230 B,856.79
12M 2016,246 B,(82 B),164 B,610.36
12M 2017,255 B,(63 B),191 B,711.53
12M 2018,256 B,(134 B),122 B,454.13
12M 2019,269 B,(133 B),135 B,503.88
12M 2020,205 B,(83 B),121 B,452.01
12M 2021,300 B,(23 B),277 B,1030.73
12M 2022,419 B,(6 B),413 B,1537.33
12M 2023,361 B,(8 B),353 B,1312.74
12M 2024,387 B,(1 B),386 B,1436.98
