Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(390 B),(29 B),(419 B),-48.89
12M 2009,481 B,(21 B),459 B,53.54
12M 2010,478 B,(42 B),436 B,50.83
12M 2011,234 B,(15 B),219 B,25.56
12M 2012,"(1,286 B)",(10 B),"(1,296 B)",-151.19
12M 2013,52 B,(31 B),21 B,1.60
12M 2014,365 B,(23 B),342 B,26.13
12M 2015,"1,440 B",(40 B),"1,400 B",106.94
12M 2016,"(1,644 B)",(31 B),"(1,674 B)",-106.00
12M 2017,975 B,(13 B),962 B,60.89
12M 2018,"1,169 B",(20 B),"1,149 B",72.76
12M 2019,589 B,(16 B),573 B,36.25
12M 2020,"5,117 B",(17 B),"5,100 B",322.89
12M 2021,"(3,034 B)",(21 B),"(3,056 B)",-151.09
12M 2022,605 B,(11 B),594 B,29.35
12M 2023,(518 B),(32 B),(550 B),-27.20
12M 2024,"5,831 B",(26 B),"5,805 B",287.06
