Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,111 B,(144 B),(33 B),-53.67
12M 2009,42 B,(64 B),(22 B),-36.40
12M 2010,82 B,(36 B),46 B,75.26
12M 2011,77 B,(29 B),48 B,79.50
12M 2012,368 B,(92 B),276 B,453.83
12M 2013,154 B,(178 B),(25 B),-40.66
12M 2014,90 B,(33 B),57 B,93.52
12M 2015,81 B,,40 B,66.21
12M 2016,111 B,(53 B),111 B,95.66
12M 2017,0 B,(28 B),(28 B),-45.42
12M 2018,112 B,(38 B),,121.23
12M 2019,78 B,(20 B),58 B,94.57
12M 2020,77 B,(81 B),(4 B),-6.16
12M 2021,98 B,(67 B),31 B,50.25
12M 2022,157 B,(77 B),80 B,130.82
12M 2023,175 B,(93 B),83 B,135.69
