Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.61 B,37.88,11.35,0.47,,2.00%,3.34%,7.95%,1.63
12M 2009,0.61 B,57.12,12.43,0.94,,3.63%,5.61%,4.01%,1.90
12M 2010,0.61 B,2.50,292.00,1.13,,0.17%,0.25%,4.62%,2.44
12M 2011,0.61 B,-67.61,-7.32,0.67,,-5.10%,-7.28%,-1.88%,-9.83
12M 2012,0.61 B,96.15,4.73,0.32,,3.61%,6.05%,9.26%,2.95
12M 2013,0.61 B,-136.20,-1.80,0.19,,-4.72%,-7.32%,-2.10%,-0.59
12M 2014,0.61 B,-43.34,-6.46,0.32,,-1.59%,-2.34%,-0.02%,-0.01
12M 2015,0.61 B,-267.67,-0.60,0.25,,-9.96%,-15.03%,-9.77%,-5.96
12M 2016,0.61 B,-285.14,-0.60,0.36,,-12.83%,-19.68%,-10.78%,-7.14
12M 2017,0.61 B,-309.37,-0.59,0.35,,-17.36%,-26.91%,-10.84%,-4.66
12M 2018,0.61 B,-199.56,-0.94,0.28,,-13.24%,-19.40%,-15.13%,-5.62
12M 2019,0.61 B,41.27,5.14,0.36,,3.37%,4.01%,5.73%,3.20
12M 2020,0.61 B,-115.05,-2.33,0.67,37.00 B,-11.64%,-12.69%,-11.62%,
12M 2021,0.61 B,56.68,5.47,0.63,124.66 B,5.53%,5.82%,6.03%,287.98
12M 2022,0.61 B,102.63,4.92,0.90,158.24 B,8.95%,9.21%,9.70%,123.13
12M 2023,0.61 B,129.66,3.70,0.84,173.42 B,10.20%,10.42%,9.84%,
