Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.84,325.66,1.84,325.66,,,,,
12M 2009,1.72,348.48,1.72,348.48,,,,,
12M 2010,1.63,367.18,1.63,367.18,,,,,
12M 2011,1.50,399.18,1.50,399.18,,,,,
12M 2012,3.62,430.61,3.62,430.43,,,,,
12M 2013,1.24,524.03,1.24,523.77,,,,,
12M 2014,1.70,645.84,1.70,645.64,,,,,
12M 2015,3.36,1070.36,3.37,1065.71,,,,,
12M 2016,1.93,1063.96,1.93,1061.27,,,,,
12M 2017,2.13,816.30,2.13,814.15,,,,,
12M 2018,2.15,813.82,2.16,811.43,,,,,
12M 2019,2.09,837.46,2.09,835.34,,,,,
12M 2020,2.30,761.57,2.30,760.36,,,,,
12M 2021,1.20,1453.59,1.20,1452.92,,,,,
12M 2022,0.99,1394.91,0.99,1391.57,,,,,
12M 2023,1.36,915.85,1.36,914.57,,,,,
12M 2024,2.87,937.24,2.87,935.76,,,,,
