Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2014,0.00 B,15962073.58,0.00,0.00,,20.38%,40.10%,73.45%,13.84
12M 2015,2.00 B,113.65,11.79,2.33,,16.48%,22.95%,29.40%,15.36
12M 2016,2.00 B,60.10,18.64,2.23,,7.78%,10.88%,11.31%,10.10
12M 2017,2.00 B,57.03,18.41,1.79,,6.19%,9.43%,9.57%,10.89
12M 2018,2.00 B,14.70,60.54,1.94,174.66 B,1.53%,2.41%,2.71%,3.92
12M 2019,2.00 B,-4.42,-83.26,0.77,161.44 B,-0.45%,-0.74%,0.95%,0.95
12M 2020,2.00 B,-192.09,-1.11,0.66,(196.28 B),-25.50%,-50.85%,-26.19%,-7.81
12M 2021,2.00 B,-69.23,-2.74,0.44,24.03 B,-9.26%,-22.49%,-10.47%,-2.55
12M 2022,2.00 B,-3.71,-47.98,0.34,147.93 B,-0.48%,-1.20%,4.82%,1.03
12M 2023,2.00 B,19.06,7.29,0.22,177.29 B,2.27%,5.83%,9.85%,1.72
12M 2024,2.00 B,11.60,14.48,0.30,158.37 B,1.55%,3.46%,9.29%,1.59
