Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(54 B),(19 B),(73 B),-36.11
12M 2014,(37 B),(17 B),(54 B),-26.95
12M 2015,(6 B),(2 B),(8 B),-3.84
12M 2016,(19 B),(44 B),(63 B),-31.18
12M 2017,4 B,(170 B),(166 B),-82.53
12M 2018,(69 B),(30 B),(98 B),-48.64
12M 2019,(59 B),(22 B),(81 B),-40.11
12M 2020,60 B,(2 B),58 B,28.78
12M 2021,77 B,(2 B),75 B,37.15
12M 2022,36 B,(5 B),31 B,15.23
12M 2023,94 B,(72 B),21 B,10.63
12M 2024,78 B,(14 B),64 B,31.99
