Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.18 B,0.96,895.83,75.93,,0.59%,0.74%,-1.59%,
12M 2009,1.18 B,7.12,113.76,34.48,,3.74%,5.28%,6.32%,
12M 2010,1.18 B,27.95,36.14,8.62,,9.85%,17.41%,3.96%,
12M 2011,1.18 B,2.29,497.82,17.99,,0.93%,1.40%,1.71%,
12M 2012,1.18 B,6.30,146.03,22.63,,2.33%,3.73%,5.76%,
12M 2013,1.18 B,4.43,273.14,49.17,,1.51%,2.55%,3.93%,
12M 2014,1.18 B,1.79,871.51,63.56,,0.58%,1.02%,2.54%,
12M 2015,1.18 B,-8.89,-176.60,79.08,,-3.08%,-5.34%,-4.14%,
12M 2016,1.18 B,-13.71,-29.61,12.89,,-4.59%,-8.94%,-8.60%,
12M 2017,1.18 B,-12.67,-3.95,0.95,,-4.17%,-8.99%,-6.12%,
12M 2018,1.18 B,-1.83,-27.32,2.20,1.56 B,-1.14%,-1.32%,0.79%,
12M 2019,1.18 B,0.31,161.29,7.26,0.76 B,0.20%,0.23%,0.37%,
