Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,6.62,129.92,6.62,129.92,,,,,72 B
12M 2009,6.01,134.79,6.01,134.79,,,,,89 B
12M 2010,6.29,160.51,6.29,160.51,,,,,105 B
12M 2011,7.00,162.80,7.00,162.80,,,,,112 B
12M 2012,5.44,169.10,5.44,169.10,,,,,156 B
12M 2013,6.97,173.53,6.97,173.53,,,,,55 B
12M 2014,8.90,175.32,8.90,175.32,,,,,54 B
12M 2015,9.43,166.43,9.43,166.43,,,,,47 B
12M 2016,2.65,153.36,2.65,153.36,,,,,29 B
12M 2017,0.35,140.88,0.35,140.88,,,,,15 B
12M 2018,0.36,138.86,0.36,138.86,,,,,(23 B)
12M 2019,0.36,139.17,0.36,139.17,,,,,(23 B)
