Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,137 B",(500 B),637 B,66.83
12M 2009,"1,004 B",(584 B),420 B,44.01
12M 2010,"2,005 B",(681 B),"1,323 B",138.73
12M 2011,"1,568 B",(899 B),669 B,70.12
12M 2012,891 B,"(2,561 B)","(1,670 B)",-175.11
12M 2013,157 B,"(2,680 B)","(2,523 B)",-264.49
12M 2014,392 B,"(2,076 B)","(1,684 B)",-176.59
12M 2015,489 B,"(1,821 B)","(1,332 B)",-55.43
12M 2016,"1,015 B","(1,231 B)",(215 B),-8.95
12M 2017,"1,379 B","(2,365 B)",(985 B),-41.00
12M 2018,"1,875 B","(2,163 B)",(288 B),-12.00
12M 2019,"1,634 B","(1,236 B)",398 B,16.54
12M 2020,"2,219 B",(572 B),"1,646 B",68.51
12M 2021,"5,043 B",(511 B),"4,531 B",188.56
12M 2022,"4,108 B",(700 B),"3,408 B",141.81
12M 2023,"4,357 B","(1,433 B)","2,924 B",121.67
12M 2024,"3,681 B","(1,179 B)","2,502 B",104.12
