Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,6.34 B,111.92,0.00,0.00,,2.19%,22.94%,5.89%,
12M 2010,9.70 B,91.81,15.95,2.90,,2.05%,17.84%,3.14%,
12M 2011,9.70 B,99.24,9.25,1.49,,1.77%,17.90%,2.60%,
12M 2012,9.70 B,123.00,8.70,1.53,,1.68%,19.96%,2.27%,
12M 2013,9.70 B,141.59,6.35,1.07,,1.93%,20.54%,2.47%,
12M 2014,9.70 B,115.11,6.40,0.81,,1.47%,15.85%,1.93%,
12M 2015,9.70 B,142.02,5.37,0.73,,1.55%,17.85%,2.20%,
12M 2016,9.70 B,119.06,28.74,3.11,,1.13%,11.99%,1.59%,
12M 2017,9.70 B,125.00,19.38,2.04,,1.05%,12.04%,1.57%,
12M 2018,9.84 B,157.36,13.15,1.71,"2,065.82 B",1.29%,13.78%,1.75%,
12M 2019,9.84 B,158.42,7.55,0.97,"2,233.45 B",1.26%,13.00%,1.69%,
12M 2020,9.84 B,171.49,9.13,1.22,"2,501.84 B",1.20%,14.11%,1.67%,
12M 2021,9.84 B,206.52,6.52,1.00,"2,936.05 B",1.28%,15.59%,1.74%,
12M 2022,10.52 B,219.02,6.14,1.04,"3,153.79 B",1.27%,15.61%,1.68%,
12M 2023,10.52 B,169.03,6.80,0.85,"2,482.30 B",0.94%,11.43%,1.16%,
12M 2024,10.52 B,130.16,6.99,0.60,"2,218.17 B",0.62%,8.41%,0.87%,
