Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,0.88,0.52,1.99,3.73,0.0,0.0,1.75,0.54,2.71
12M 2013,0.83,0.49,1.84,3.62,0.0,0.0,1.67,0.51,2.59
12M 2014,1.14,0.8,1.57,3.19,0.0,0.0,1.1,0.49,2.17
12M 2015,1.1,0.76,1.79,3.23,0.0,0.0,1.46,0.55,2.2
12M 2016,0.89,0.55,1.69,3.11,0.0,0.0,1.6,0.54,2.08
12M 2017,1.01,0.67,1.29,2.63,0.0,0.0,1.17,0.49,1.6
12M 2018,1.03,0.66,1.83,3.29,0.0,0.0,1.69,0.56,2.26
12M 2019,0.82,0.52,1.76,3.19,0.0,0.0,1.69,0.55,2.16
12M 2020,1.14,0.85,0.97,2.31,0.0,0.0,0.87,0.42,1.29
12M 2021,1.25,0.83,0.71,1.99,0.0,0.0,0.65,0.36,0.97
12M 2022,1.07,0.64,0.62,1.91,0.0,0.0,0.58,0.33,0.9
12M 2023,1.0,0.62,0.59,1.86,0.0,0.0,0.55,0.32,0.84
12M 2024,1.15,0.66,0.54,1.79,0.0,0.0,0.49,0.3,0.77
