Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.18 B,1161.03,0.00,0.00,,4.17%,15.53%,28.94%,3.15
12M 2013,2.12 B,95.85,21.39,1.13,,3.43%,12.41%,17.94%,1.81
12M 2014,2.12 B,306.50,12.56,1.67,,9.06%,28.85%,23.98%,4.59
12M 2015,10.60 B,25.44,23.58,1.44,,3.43%,11.09%,13.50%,2.24
12M 2016,10.60 B,23.65,23.26,1.48,,3.06%,9.54%,10.30%,2.10
12M 2017,10.60 B,55.20,7.90,0.90,,7.02%,18.46%,18.55%,4.38
12M 2018,10.60 B,39.67,10.34,0.91,"1,177.73 B",3.58%,11.77%,11.63%,2.59
12M 2019,10.60 B,16.98,27.09,0.85,"1,084.11 B",1.55%,4.93%,8.10%,1.50
12M 2020,10.60 B,44.97,13.56,0.97,"1,382.41 B",3.37%,7.79%,9.42%,3.12
12M 2021,10.60 B,68.60,7.29,0.74,"2,022.76 B",5.30%,10.54%,11.74%,3.15
12M 2022,10.60 B,113.85,5.27,0.66,"2,922.35 B",7.86%,15.02%,17.96%,3.76
12M 2023,10.60 B,79.23,7.00,0.62,"2,396.51 B",5.19%,9.64%,12.17%,3.54
12M 2024,10.60 B,107.78,8.81,1.00,"3,060.31 B",6.56%,11.75%,15.11%,3.86
