Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2012,,,,,,,,,,,,,-16.61,,0.88
12M 2013,18.25,89.4,57.73,49.92,20.0,18.79,4.08,4.12,2.25,2.21,0.69,0.65,-11.28,-11.28,0.83
12M 2014,16.2,79.52,52.38,43.34,22.54,21.83,4.59,4.46,2.62,2.51,0.75,0.7,16.91,16.91,1.14
12M 2015,18.86,80.33,42.97,56.22,19.36,17.92,4.54,4.32,2.26,2.27,0.59,0.58,20.44,20.44,1.1
12M 2016,23.43,84.95,46.49,61.89,15.58,15.17,4.3,4.06,1.95,1.92,0.49,0.48,-18.9,-18.9,0.89
12M 2017,21.24,67.1,44.13,44.21,17.18,17.15,5.44,5.78,2.5,2.5,0.62,0.61,345.33,345.33,1.01
12M 2018,27.77,82.72,55.72,54.77,13.15,13.93,4.41,3.94,1.89,1.87,0.47,0.46,61.93,61.93,1.03
12M 2019,23.99,67.48,46.96,44.51,15.21,18.71,5.41,6.07,1.87,1.83,0.49,0.5,-13.37,-13.37,0.82
12M 2020,20.07,50.94,34.9,36.11,18.18,21.98,7.17,6.6,1.56,1.54,0.52,0.52,20.93,20.93,1.14
12M 2021,16.17,51.65,27.81,40.01,22.57,27.67,7.07,6.59,1.25,1.23,0.51,0.51,15.31,15.31,1.25
12M 2022,13.45,57.81,24.36,46.9,27.13,26.71,6.31,5.05,1.53,1.48,0.66,0.64,46.45,46.45,1.07
12M 2023,15.93,62.88,24.48,54.33,22.91,29.74,5.8,5.56,1.34,1.3,0.6,0.59,2872.32,2872.32,1.0
12M 2024,13.12,59.93,24.19,48.86,27.82,28.67,6.09,5.63,1.32,1.31,0.6,0.58,27.58,27.58,1.15
