Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,185 B,(29 B),156 B,0.00
12M 2009,228 B,(24 B),204 B,4111.85
12M 2010,156 B,(21 B),135 B,0.00
12M 2011,233 B,(167 B),67 B,1345.86
12M 2012,188 B,(49 B),139 B,281.15
12M 2013,321 B,(163 B),157 B,317.35
12M 2014,308 B,(321 B),(13 B),0.00
12M 2015,241 B,(160 B),81 B,78.11
12M 2016,306 B,(90 B),215 B,20.87
12M 2017,421 B,(18 B),404 B,39.12
12M 2018,357 B,(19 B),338 B,32.72
12M 2019,278 B,(38 B),240 B,23.26
12M 2020,309 B,(9 B),,29.14
12M 2021,114 B,(57 B),57 B,5.54
12M 2022,327 B,(115 B),212 B,20.52
12M 2023,301 B,(36 B),265 B,25.68
12M 2024,295 B,(62 B),233 B,22.62
