Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.59 B,-102.86,-1.01,0.22,,-39.62%,73.85%,43.48%,-0.98
12M 2009,0.59 B,-11.84,-15.20,1.50,,-6.82%,7.83%,22.44%,-1.05
12M 2010,0.59 B,-17.20,-8.43,2.17,,-13.71%,10.22%,12.67%,-1.69
12M 2011,0.59 B,77.96,1.86,3.39,,347.47%,-86.29%,-150.90%,4.90
12M 2012,0.59 B,94.80,7.07,12.92,,10.14%,-442.26%,-20001.76%,170.94
12M 2013,0.59 B,-98.01,-1.89,3.38,,-8.59%,68.59%,127.65%,
12M 2014,0.59 B,-63.26,-7.71,8.89,,-5.56%,30.31%,30.02%,-59.45
12M 2015,0.59 B,-665.13,-0.14,1.32,,-124.17%,72.57%,4.62%,-14.59
12M 2016,0.59 B,53.15,4.63,1.42,,9.44%,-6.33%,-6.15%,29.04
12M 2017,0.59 B,55.31,1.65,0.50,,9.43%,-7.02%,-6.70%,2061.74
12M 2018,0.59 B,17.65,4.76,0.55,36.85 B,2.87%,-2.14%,-2.71%,
12M 2019,0.59 B,-13.48,-4.75,0.78,16.80 B,-2.72%,1.68%,1.76%,
12M 2020,0.59 B,1.72,43.60,0.67,28.21 B,0.34%,-0.21%,-0.35%,26.42
12M 2021,0.59 B,-14.34,-9.55,1.92,20.77 B,-3.27%,1.71%,1.14%,-98.47
12M 2022,0.59 B,24.21,3.59,0.48,48.14 B,6.12%,-2.72%,-4.10%,283.37
12M 2023,0.59 B,31.22,1.60,0.28,54.95 B,9.55%,-3.67%,-5.18%,
12M 2024,0.59 B,2.10,1061.90,18.00,32.84 B,0.61%,-0.24%,-0.68%,
