Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2010,0.09 B,149.79,0.00,0.00,,4.52%,19.50%,44.42%,
12M 2011,7.80 B,26.31,7.56,6.01,,11.82%,17.25%,14.87%,
12M 2012,7.80 B,54.93,4.19,2.51,,20.65%,26.48%,19.36%,
12M 2013,7.80 B,18.08,8.79,13.49,,6.89%,8.02%,-1.13%,-21.92
12M 2014,7.80 B,21.53,8.08,7.71,,7.32%,8.71%,2.38%,9.14
12M 2015,7.80 B,161.70,0.76,11.46,,18.54%,20.29%,-0.96%,-1.76
12M 2016,7.80 B,26.65,4.84,7.11,,2.99%,3.24%,0.36%,0.92
12M 2017,7.80 B,24.41,6.15,13.77,,2.64%,2.88%,-0.69%,-1.94
12M 2018,7.80 B,27.21,5.22,8.24,(46.49 B),2.83%,3.11%,-0.83%,-2.61
12M 2019,7.80 B,16.37,9.41,13.68,(36.60 B),1.68%,1.84%,-0.69%,-2.34
12M 2020,7.80 B,-6.45,-20.93,32.57,(47.41 B),-0.67%,-0.73%,-0.82%,-7.15
12M 2021,7.80 B,2.78,65.83,29.84,(41.04 B),0.29%,0.31%,-0.72%,-6.78
12M 2022,7.80 B,3.99,37.84,20.65,(47.01 B),0.40%,0.45%,-0.79%,-3.04
12M 2023,7.80 B,7.85,19.62,16.73,(49.26 B),0.78%,0.87%,-0.81%,-2.61
12M 2024,7.80 B,9.15,14.54,15.30,(59.99 B),0.91%,1.01%,-0.97%,-3.36
