Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,1.33,,1.32
12M 2011,35.45,1037.69,238.18,834.96,10.3,12.91,0.35,0.54,5.06,5.09,0.25,0.3,0.4,0.4,2.31
12M 2012,24.28,515.64,165.48,374.44,15.03,8.84,0.71,0.78,6.76,7.12,0.37,0.36,0.94,0.94,2.89
12M 2013,137.42,3911.66,1259.59,2789.49,2.66,6.52,0.09,0.14,0.69,0.61,0.04,0.05,0.11,0.11,5.72
12M 2014,31.72,3646.35,429.53,3248.54,11.51,10.14,0.1,0.1,0.96,0.85,0.08,0.08,0.28,0.28,4.08
12M 2015,86.53,9522.21,584.61,9024.13,4.22,3.44,0.04,0.03,0.4,0.39,0.02,0.02,0.14,0.14,3.52
12M 2016,62.18,5443.61,251.24,5254.55,5.87,4.81,0.07,0.07,0.68,0.7,0.02,0.02,0.2,0.2,8.8
12M 2017,81.05,8755.4,203.02,8633.43,4.5,4.94,0.04,0.04,0.43,0.44,0.01,0.01,0.11,0.11,8.27
12M 2018,32.5,2972.22,77.52,2927.2,11.23,12.83,0.12,0.11,0.65,0.66,0.02,0.02,0.13,0.13,7.8
12M 2019,25.16,7720.57,174.93,7570.8,14.5,101.79,0.05,0.05,0.41,0.42,0.01,0.01,0.11,0.11,2.9
12M 2020,10.79,18354.86,267.89,18097.76,33.82,45.91,0.02,0.02,0.16,0.17,,,0.03,0.03,16.07
12M 2021,19.36,14981.79,223.75,14777.4,18.86,10.88,0.02,0.02,0.25,0.26,0.01,0.01,0.04,0.04,24.8
12M 2022,16.11,14334.44,164.88,14185.67,22.65,30.39,0.03,0.02,0.33,0.33,0.01,0.01,0.04,0.04,15.31
12M 2023,6.81,12764.73,112.76,12658.78,53.62,40.82,0.03,0.03,0.43,0.44,0.01,0.01,0.04,0.04,11.8
12M 2024,51.2,16803.21,229.43,16624.98,7.13,7.19,0.02,0.02,0.41,0.43,0.01,0.01,0.04,0.04,8.83
