Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,3.11 B,-48.41,-2.23,1.11,,-10.54%,324.35%,-427.35%,-1.85
12M 2013,3.11 B,-104.65,-0.71,1.30,,-34.60%,87.52%,-70.48%,-0.31
12M 2014,3.11 B,1.87,33.16,0.36,,0.64%,-1.58%,-10.87%,-0.59
12M 2015,3.11 B,1.34,38.06,0.18,,0.35%,-1.40%,8.32%,0.99
12M 2016,3.11 B,1.64,115.85,0.60,,0.42%,-2.47%,13.15%,1.09
12M 2017,3.11 B,5.79,32.82,0.67,,1.61%,150.42%,8.08%,1.13
12M 2018,3.99 B,11.68,8.65,0.30,177.44 B,3.18%,64.28%,30.88%,1.16
12M 2019,3.99 B,-32.83,-1.52,0.21,(12.28 B),-8.96%,-205.52%,-43.22%,-0.89
12M 2020,3.99 B,-76.99,-0.65,0.26,(180.75 B),-25.57%,120.40%,763.36%,-4.84
12M 2021,3.99 B,12.35,4.05,0.20,141.81 B,3.84%,-23.77%,-49.26%,1.67
12M 2022,4.08 B,55.25,2.88,0.74,636.46 B,23.47%,64.79%,517.72%,11.11
12M 2023,4.08 B,-52.86,-2.65,2.41,(205.13 B),-26.32%,-155.69%,-90.85%,-8.66
12M 2024,4.08 B,-44.59,-1.84,16.31,(80.00 B),-24.53%,-68.15%,-34.38%,-31.55
