Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,3.08 B,7.68,0.00,0.00,,0.70%,6.39%,1.78%,
12M 2013,3.85 B,8.17,34.88,3.20,,0.75%,4.94%,1.09%,
12M 2014,3.85 B,6.44,52.48,3.10,,0.51%,3.84%,0.72%,
12M 2015,3.85 B,10.44,38.31,3.14,,0.75%,4.74%,1.10%,
12M 2016,4.44 B,15.34,27.38,3.57,,1.24%,6.13%,1.69%,
12M 2017,4.44 B,15.64,25.06,3.51,,1.15%,5.98%,1.59%,
12M 2018,4.44 B,15.98,23.03,3.20,79.24 B,1.06%,5.91%,1.10%,
12M 2019,4.44 B,13.45,26.62,2.67,91.48 B,0.79%,4.86%,1.17%,
12M 2020,4.44 B,15.08,28.51,3.03,96.35 B,0.66%,5.22%,0.98%,
12M 2021,4.44 B,18.04,95.90,8.53,113.90 B,0.56%,6.02%,0.83%,
12M 2022,8.62 B,13.33,81.77,9.88,164.67 B,0.77%,3.65%,1.03%,
12M 2023,18.10 B,3.49,166.19,8.73,99.82 B,0.32%,0.94%,0.49%,
12M 2024,18.10 B,-13.66,-42.83,7.00,(291.46 B),-1.11%,-3.82%,-1.51%,
