Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,(19 B),(24 B),(43 B),-13.88
12M 2013,267 B,(11 B),256 B,66.38
12M 2014,435 B,(29 B),406 B,105.51
12M 2015,(565 B),(12 B),(577 B),-149.85
12M 2016,(188 B),(6 B),(194 B),-43.75
12M 2017,234 B,(186 B),48 B,10.77
12M 2018,206 B,(5 B),201 B,45.21
12M 2019,458 B,(8 B),451 B,101.39
12M 2020,208 B,(8 B),200 B,45.06
12M 2021,"2,626 B",(5 B),"2,621 B",589.90
12M 2022,"(1,520 B)",(29 B),"(1,549 B)",-179.75
12M 2023,"(3,191 B)",(15 B),"(3,206 B)",-177.12
12M 2024,(302 B),(20 B),(322 B),-17.79
