Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2012,0.00,120.06,0.00,120.06,,,,,
12M 2013,1.72,165.42,1.72,165.42,,,,,
12M 2014,2.01,167.78,2.01,167.78,,,,,
12M 2015,1.82,220.20,1.82,220.20,,,,,
12M 2016,1.68,250.17,1.68,250.17,,,,,
12M 2017,1.50,261.54,1.50,261.54,,,,,
12M 2018,1.36,270.23,1.36,270.23,,,,,
12M 2019,1.29,276.57,1.29,276.57,,,,,
12M 2020,1.49,289.02,1.49,288.06,,,,,
12M 2021,5.77,299.59,5.79,298.95,,,,,
12M 2022,2.98,365.72,2.99,364.86,,,,,
12M 2023,1.56,371.36,1.56,371.08,,,,,
12M 2024,1.64,357.05,1.64,356.79,,,,,
