Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2015,1.16 B,-5.88,-42.52,0.13,,-1.28%,-4.08%,13.59%,0.55
12M 2016,1.16 B,-16.88,-8.59,0.07,,-3.93%,-13.20%,10.40%,0.50
12M 2017,1.16 B,-2.67,-52.43,0.06,,-0.61%,-2.17%,23.62%,0.82
12M 2018,1.16 B,4.79,35.49,0.06,55.14 B,0.93%,3.78%,23.74%,1.03
12M 2019,1.16 B,4.48,23.44,0.04,39.19 B,0.83%,3.45%,13.56%,0.92
12M 2020,1.16 B,-1.10,-72.73,0.04,48.58 B,-0.18%,-1.07%,19.59%,1.19
12M 2021,1.16 B,154.78,1.69,0.09,143.91 B,18.36%,59.66%,48.27%,4.53
12M 2022,1.16 B,323.92,2.38,0.18,436.42 B,24.14%,55.52%,78.10%,16.21
12M 2023,1.16 B,150.79,2.23,0.10,141.51 B,11.27%,21.22%,17.43%,5.87
12M 2024,1.16 B,8.42,37.77,0.12,16.24 B,0.55%,1.17%,1.23%,0.31
