Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(66 B),(1 B),(67 B),-11.07
12M 2009,(56 B),(0 B),(56 B),-9.34
12M 2010,(27 B),(10 B),(37 B),-5.35
12M 2011,(7 B),(35 B),(42 B),-6.11
12M 2012,(34 B),(4 B),(38 B),-5.51
12M 2013,(19 B),(3 B),(22 B),-3.19
12M 2014,23 B,(3 B),20 B,2.94
12M 2015,8 B,(4 B),4 B,0.57
12M 2016,(0 B),(8 B),(8 B),-1.22
12M 2017,34 B,(15 B),19 B,2.76
12M 2018,(1 B),(2 B),(2 B),-0.33
12M 2019,17 B,(4 B),13 B,1.73
12M 2020,(19 B),(1 B),(20 B),-2.68
12M 2021,(33 B),(0 B),(33 B),-4.46
12M 2022,(28 B),(0 B),(28 B),-3.79
12M 2023,(15 B),(26 B),(41 B),-5.42
12M 2024,(14 B),(19 B),(34 B),-4.50
