Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,5.08,,1.99,,0.5,,0.23,0.72,0.72,3.16
12M 2009,814.42,2705.78,995.79,2524.41,0.45,0.44,0.13,0.29,0.07,0.07,0.03,0.04,0.12,0.12,6.63
12M 2010,656.39,2023.49,516.69,2163.19,0.56,0.48,0.18,0.34,0.1,0.09,0.05,0.04,0.14,0.14,5.15
12M 2011,1545.34,4557.22,1057.73,5044.83,0.24,0.28,0.08,0.08,0.03,0.03,0.02,0.02,0.07,0.07,5.07
12M 2012,1574.66,1864.88,324.02,3115.52,0.23,0.24,0.2,0.19,0.03,0.04,0.01,0.01,0.06,0.06,4.46
12M 2013,1633.0,1938.34,329.04,3242.3,0.22,0.26,0.19,0.19,0.04,0.05,0.01,0.01,0.07,0.07,3.19
12M 2014,129.2,1182.31,201.67,1109.84,2.83,3.4,0.31,0.32,12.05,12.74,0.13,0.13,1.15,1.15,1.63
12M 2015,102.37,1494.62,247.16,1349.83,3.57,7.56,0.24,0.24,7.65,7.92,0.07,0.08,0.42,0.42,3.07
12M 2016,15.26,1033.94,275.3,773.9,23.92,28.86,0.35,0.34,7.24,7.45,0.07,0.07,-0.28,-0.28,0.21
12M 2017,16.9,366.53,297.39,86.04,21.6,13.37,1.0,0.99,4.53,3.49,0.06,0.06,-0.5,-0.5,0.38
12M 2018,28.86,386.39,282.45,132.8,12.65,11.73,0.94,0.94,3.33,3.64,0.05,0.05,-0.35,-0.35,0.33
12M 2019,22.6,490.25,146.22,366.63,16.15,14.96,0.74,0.65,4.18,4.61,0.04,0.04,-0.67,-0.67,0.71
12M 2020,28.1,615.56,35.12,608.54,12.99,12.81,0.59,0.61,3.16,3.71,0.02,0.02,-0.23,-0.23,0.51
12M 2021,26.11,558.04,34.81,549.34,13.98,10.25,0.65,0.65,5.21,5.88,0.03,0.03,-0.9,-0.9,0.76
12M 2022,23.25,565.02,39.09,549.18,15.7,15.65,0.65,0.64,7.48,8.58,0.03,0.03,-0.42,-0.42,0.52
12M 2023,31.04,480.49,55.95,455.58,11.76,11.34,0.76,0.78,11.4,15.34,0.04,0.04,-0.31,-0.31,0.37
12M 2024,30.48,467.08,78.07,419.49,11.98,13.21,0.78,0.78,14.46,16.66,0.04,0.04,-0.24,-0.24,0.31
