Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,681 B,(32 B),649 B,118.32
12M 2011,(300 B),(15 B),(315 B),-57.45
12M 2012,168 B,(15 B),153 B,27.81
12M 2013,222 B,(5 B),217 B,39.56
12M 2014,25 B,(13 B),12 B,0.78
12M 2015,"1,047 B",(41 B),"1,006 B",52.59
12M 2016,(99 B),(19 B),(119 B),-5.77
12M 2017,"(1,993 B)",(16 B),"(2,009 B)",-94.48
12M 2018,(17 B),(9 B),(26 B),-1.20
12M 2019,(792 B),(20 B),(812 B),-32.06
12M 2020,930 B,(14 B),916 B,36.16
12M 2021,559 B,(7 B),552 B,18.76
12M 2022,719 B,(16 B),703 B,21.83
12M 2023,584 B,(989 B),(406 B),-12.01
12M 2024,"1,114 B",(36 B),"1,079 B",24.26
