Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,2.50 B,365.35,0.00,0.00,,39.90%,145.99%,248.58%,24.26
12M 2010,2.70 B,363.41,24.77,5.42,,28.28%,42.69%,63.71%,16.39
12M 2011,2.70 B,542.30,12.63,2.53,,31.52%,48.04%,71.83%,
12M 2012,2.70 B,470.77,12.75,1.61,,24.44%,37.63%,52.80%,64.08
12M 2013,2.70 B,188.81,14.56,0.73,,8.71%,13.24%,18.58%,20.45
12M 2014,2.70 B,1.89,878.31,0.76,,0.09%,0.14%,5.57%,6.78
12M 2015,2.70 B,-95.33,-7.08,0.55,,-4.91%,-6.87%,0.16%,0.25
12M 2016,2.70 B,65.71,32.57,2.00,,3.20%,4.69%,8.90%,20.49
12M 2017,2.70 B,224.15,9.15,1.27,,9.74%,14.19%,18.76%,44.80
12M 2018,2.70 B,167.65,8.35,0.79,937.43 B,6.69%,10.36%,12.95%,23.60
12M 2019,2.70 B,96.82,13.63,0.96,533.95 B,4.21%,5.99%,5.81%,14.68
12M 2020,2.70 B,318.13,9.37,3.50,319.57 B,12.23%,16.48%,1.44%,3.38
12M 2021,2.70 B,392.44,26.31,5.80,"2,148.87 B",8.50%,15.85%,21.00%,42.64
12M 2022,13.52 B,332.06,4.88,1.63,"7,028.93 B",22.51%,39.21%,47.18%,137.10
12M 2023,13.52 B,170.45,7.83,1.28,"5,226.22 B",9.14%,16.85%,23.23%,47.32
12M 2024,13.52 B,63.39,16.33,0.68,"4,479.45 B",2.06%,5.93%,11.52%,6.62
