Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2009,"1,156 B",(255 B),901 B,360.45
12M 2010,704 B,(443 B),261 B,96.77
12M 2011,"1,515 B",(146 B),"1,369 B",506.90
12M 2012,"1,084 B",(179 B),(12 B),334.60
12M 2013,"1,411 B",(36 B),"1,375 B",508.59
12M 2014,628 B,(40 B),587 B,217.27
12M 2015,170 B,(78 B),92 B,34.08
12M 2016,603 B,(69 B),535 B,197.71
12M 2017,733 B,(130 B),603 B,222.92
12M 2018,361 B,(159 B),202 B,74.66
12M 2019,328 B,(119 B),209 B,77.36
12M 2020,673 B,(104 B),570 B,210.68
12M 2021,"1,849 B",(227 B),"1,622 B",599.95
12M 2022,"6,215 B",(488 B),"5,727 B",423.67
12M 2023,"3,249 B",(451 B),"2,798 B",206.95
12M 2024,"3,346 B","(5,142 B)","3,346 B",-132.86
