Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,17.13 B,3.44,14.53,1.97,,1.93%,3.36%,6.25%,3.08
12M 2009,17.86 B,5.27,19.92,4.65,,2.65%,4.89%,5.96%,4.22
12M 2010,17.86 B,16.28,18.12,6.89,,6.34%,13.17%,16.46%,10.62
12M 2011,17.86 B,33.68,13.66,5.95,,10.01%,21.97%,27.60%,11.11
12M 2012,19.65 B,60.70,9.88,4.82,,10.90%,26.11%,23.70%,9.03
12M 2013,19.65 B,44.62,9.64,2.29,,6.08%,17.00%,16.58%,12.81
12M 2014,19.65 B,55.85,10.03,3.03,,6.48%,17.94%,15.37%,9.78
12M 2015,19.65 B,30.36,11.30,2.42,,3.19%,9.24%,11.20%,10.24
12M 2016,19.65 B,25.89,13.60,2.55,,2.52%,7.18%,6.92%,4.86
12M 2017,19.65 B,70.23,5.07,1.79,,6.66%,16.30%,11.57%,4.82
12M 2018,19.65 B,49.37,6.32,1.54,"2,064.31 B",4.64%,10.27%,10.91%,4.47
12M 2019,19.65 B,51.48,4.62,1.35,"1,794.77 B",4.62%,9.68%,8.76%,2.84
12M 2020,19.65 B,-52.30,-4.63,3.36,277.73 B,-4.84%,-11.07%,0.91%,0.23
12M 2021,19.65 B,7.41,21.86,1.12,"1,213.61 B",0.66%,1.54%,6.11%,1.36
12M 2022,19.65 B,55.27,2.89,0.70,"2,283.19 B",4.87%,10.32%,11.60%,2.46
12M 2023,19.65 B,32.18,5.10,0.81,"1,796.48 B",2.84%,5.67%,8.98%,1.74
12M 2024,19.65 B,2.81,47.69,0.77,"1,369.68 B",0.25%,0.49%,6.73%,1.52
