Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,57 B,(99 B),(43 B),-2.49
12M 2009,126 B,(21 B),105 B,5.90
12M 2010,797 B,(172 B),625 B,34.99
12M 2011,"1,419 B","(1,000 B)",419 B,23.43
12M 2012,"2,031 B","(2,586 B)",(555 B),-28.24
12M 2013,"2,337 B","(3,561 B)","(1,224 B)",-62.28
12M 2014,653 B,"(1,541 B)",(888 B),-45.21
12M 2015,552 B,(559 B),(7 B),-0.36
12M 2016,"1,482 B",(389 B),"1,093 B",55.61
12M 2017,"1,826 B","(1,459 B)",367 B,18.70
12M 2018,"1,370 B",(728 B),641 B,32.64
12M 2019,"1,690 B",(518 B),"1,172 B",59.66
12M 2020,334 B,(149 B),185 B,9.43
12M 2021,"1,614 B",(158 B),"1,456 B",74.10
12M 2022,"2,486 B",(351 B),"2,135 B",108.66
12M 2023,"1,022 B",(367 B),655 B,33.31
12M 2024,"1,166 B",(443 B),723 B,36.82
