Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,6.7,4.59,0.02,1.29,0.0,0.0,-0.18,0.02,0.17
12M 2009,7.21,5.46,0.02,1.28,0.0,0.0,-0.23,0.02,0.17
12M 2010,3.4,2.34,0.19,1.44,0.0,0.0,0.02,0.13,0.33
12M 2011,2.68,1.77,0.27,1.58,0.0,0.0,0.13,0.17,0.46
12M 2012,3.3,2.39,0.17,1.55,0.0,0.0,-0.0,0.11,0.43
12M 2013,3.47,2.45,0.13,1.43,0.0,0.0,0.02,0.09,0.3
12M 2014,3.73,2.51,0.14,1.4,0.0,0.0,-0.01,0.1,0.28
12M 2015,2.95,1.94,0.22,1.44,0.0,0.0,0.08,0.15,0.34
12M 2016,2.39,1.63,0.29,1.55,0.0,0.0,0.12,0.19,0.45
12M 2017,2.21,1.53,0.23,1.42,0.0,0.0,0.03,0.16,0.42
12M 2018,1.96,1.2,0.33,1.46,0.0,0.0,0.28,0.0,0.46
12M 2019,1.54,0.85,0.38,1.51,0.0,0.0,0.33,0.25,0.52
12M 2020,1.7,0.86,0.35,1.47,0.0,0.0,0.27,0.24,0.47
12M 2021,1.63,0.84,0.33,1.5,0.0,0.0,0.25,0.22,0.5
12M 2022,1.54,0.7,0.37,1.6,0.0,0.0,0.3,0.23,0.6
12M 2023,1.65,0.74,0.32,1.49,0.0,0.0,0.25,0.21,0.49
12M 2024,1.69,0.8,0.33,1.53,0.0,0.0,0.24,0.21,0.53
