Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.60 B,49.76,3.42,0.33,,11.11%,14.31%,35.56%,3881.00
12M 2009,0.60 B,58.03,4.57,0.47,,11.95%,15.35%,17.40%,245.31
12M 2010,0.60 B,56.39,7.18,0.57,,9.10%,13.13%,17.06%,45.25
12M 2011,0.60 B,50.04,7.29,0.47,,6.94%,10.99%,16.85%,13.02
12M 2012,0.60 B,67.76,5.61,0.41,,8.66%,13.46%,18.23%,14.77
12M 2013,0.60 B,66.74,6.14,0.42,,6.37%,9.08%,15.04%,15.93
12M 2014,0.60 B,64.35,5.49,0.40,,5.81%,8.15%,11.37%,9.90
12M 2015,0.60 B,38.91,9.51,0.40,,3.07%,4.42%,7.61%,5.37
12M 2016,0.60 B,34.58,13.01,0.42,,2.45%,3.79%,8.88%,4.14
12M 2017,0.60 B,111.05,3.15,0.37,,7.72%,10.97%,17.79%,7.53
12M 2018,0.60 B,55.00,6.73,0.35,72.88 B,3.55%,5.17%,8.41%,4.01
12M 2019,0.60 B,61.72,5.61,0.28,89.71 B,3.56%,5.39%,9.57%,2.71
12M 2020,0.60 B,4.50,66.22,0.27,57.16 B,0.27%,0.40%,4.20%,1.25
12M 2021,0.60 B,50.20,8.01,0.31,81.07 B,2.83%,4.24%,8.37%,3.09
12M 2022,0.60 B,79.52,6.73,0.33,107.80 B,3.99%,6.37%,11.71%,3.90
12M 2023,0.60 B,57.28,10.30,0.33,93.00 B,2.59%,3.86%,8.58%,2.75
12M 2024,0.60 B,70.21,7.06,0.27,,2.97%,4.54%,8.75%,3.07
