Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.80 B,104.09,9.31,1.99,,4.83%,10.77%,19.95%,1.86
12M 2009,6.80 B,145.98,13.21,3.61,,6.14%,13.82%,10.94%,1.96
12M 2010,6.80 B,175.51,20.78,5.76,,6.30%,15.42%,12.91%,2.51
12M 2011,6.80 B,196.98,22.70,6.28,,6.25%,16.08%,12.68%,2.92
12M 2012,6.80 B,235.60,24.63,4.42,,6.47%,18.60%,13.93%,2.72
12M 2013,6.80 B,196.52,25.60,3.50,,4.71%,14.36%,9.52%,2.10
12M 2014,6.80 B,206.39,36.37,5.94,,4.41%,14.22%,8.60%,1.81
12M 2015,6.80 B,215.64,25.80,3.84,,3.99%,14.07%,11.44%,2.30
12M 2016,7.26 B,260.31,16.60,1.88,,3.53%,13.81%,12.24%,2.59
12M 2017,7.26 B,303.15,21.11,1.32,,2.78%,14.57%,9.33%,3.27
12M 2018,7.26 B,303.48,14.10,0.84,"5,687.47 B",2.67%,13.03%,8.70%,2.50
12M 2019,7.26 B,304.10,17.02,1.43,"6,393.86 B",2.21%,11.81%,9.07%,2.04
12M 2020,7.26 B,69.03,67.07,2.45,"5,806.92 B",0.48%,2.63%,5.59%,1.13
12M 2021,7.26 B,222.56,17.48,1.86,"7,131.30 B",1.60%,7.84%,5.71%,1.13
12M 2022,7.26 B,378.47,7.87,1.30,"7,953.23 B",3.01%,12.59%,6.52%,1.41
12M 2023,7.26 B,936.03,5.20,1.66,"9,160.44 B",5.25%,24.36%,7.49%,1.93
12M 2024,7.26 B,624.92,6.93,1.09,"11,758.76 B",3.22%,13.32%,7.94%,2.24
