Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,26.16,,0.23,1.24,1.24,3.16
12M 2009,,,18.06,-18.06,,,,,20.42,20.35,0.24,0.23,7.83,7.83,1.16
12M 2010,,,25.93,-25.93,,,,,20.35,21.1,0.25,0.24,2.67,2.67,1.65
12M 2011,,,27.0,-27.0,,,,,16.1,7.96,0.24,0.23,21.23,21.23,1.06
12M 2012,,,7.63,-7.63,,210.92,,,22.4,20.08,0.39,0.37,-4.22,-4.22,0.68
12M 2013,,,4.69,-4.69,,,,,19.27,17.06,0.37,0.34,-8.34,-8.34,0.76
12M 2014,,,9.49,-9.49,,,,,13.27,13.06,0.29,0.27,-12.79,-12.79,0.84
12M 2015,,0.64,10.5,-9.86,,,567.68,567.68,12.19,11.79,0.29,0.28,-2.45,-2.45,0.48
12M 2016,,128.29,4.21,124.08,,,2.85,2.17,18.53,19.58,0.37,0.35,-2.94,-2.94,0.7
12M 2017,,121.48,2.98,118.5,,,3.0,2.75,36.54,34.43,0.53,0.47,-5.84,-5.84,0.76
12M 2018,,100.47,3.95,96.52,,,3.63,3.81,41.3,50.59,0.46,0.47,-1.92,-1.92,0.38
12M 2019,,51.46,6.66,44.8,,,7.09,5.58,35.87,36.33,0.29,0.27,-0.88,-0.88,0.28
12M 2020,,4.35,15.94,-11.59,,,83.97,84.12,18.77,18.32,0.13,0.13,-3.25,-3.25,0.72
12M 2021,,5.84,15.96,-10.12,,,62.55,62.32,19.21,19.93,0.15,0.15,-9.18,-9.18,0.86
12M 2022,,4.74,11.31,-6.57,,,77.01,76.15,27.77,43.57,0.17,0.17,72.34,72.34,1.02
12M 2023,,3.22,4.64,-1.42,,,113.33,112.06,51.06,49.11,0.19,0.17,-1.44,-1.44,0.35
12M 2024,,2.81,3.4,-0.59,,,130.0,118.53,58.47,59.85,0.21,0.2,-2.13,-2.13,0.34
