Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(273 B),(38 B),(311 B),-370.41
12M 2009,927 B,(47 B),880 B,1048.12
12M 2010,169 B,(49 B),120 B,142.91
12M 2011,(140 B),(71 B),(211 B),-251.55
12M 2012,(451 B),(66 B),(517 B),-615.59
12M 2013,947 B,(119 B),828 B,985.57
12M 2014,467 B,(73 B),395 B,469.78
12M 2015,"1,302 B",(33 B),"1,269 B",1511.06
12M 2016,978 B,(20 B),958 B,1140.53
12M 2017,793 B,(17 B),775 B,923.14
12M 2018,(403 B),(24 B),(427 B),-508.23
12M 2019,634 B,(48 B),586 B,697.96
12M 2020,742 B,(12 B),729 B,868.37
12M 2021,736 B,(20 B),715 B,851.62
12M 2022,(487 B),(84 B),(571 B),-680.14
12M 2023,635 B,(41 B),595 B,707.76
