Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,85.45,,0.49,,15.46,,0.31,1.68,1.68,1.4
12M 2009,3.07,979.42,17.98,964.51,118.81,131.29,0.37,0.37,12.0,11.71,0.28,0.28,1.3,1.3,1.49
12M 2010,6.53,896.01,7.31,895.23,55.92,55.97,0.41,0.4,11.65,10.45,0.3,0.3,0.68,0.68,1.93
12M 2011,10.1,1053.54,10.75,1052.89,36.15,36.85,0.35,0.34,7.46,6.54,0.23,0.22,0.78,0.78,1.86
12M 2012,7.22,865.47,30.12,842.57,50.54,45.4,0.42,0.39,8.73,8.72,0.25,0.23,1.15,1.15,1.55
12M 2013,5.1,830.76,31.67,804.19,71.6,64.18,0.44,0.43,13.46,13.14,0.29,0.26,0.78,0.78,2.67
12M 2014,6.44,1144.87,32.15,1119.16,56.71,44.95,0.32,0.29,10.66,9.61,0.22,0.2,0.89,0.89,2.18
12M 2015,7.36,1368.75,55.12,1320.99,49.58,46.01,0.27,0.25,8.8,7.95,0.19,0.17,0.58,0.58,2.73
12M 2016,15.19,1387.2,57.3,1345.09,24.02,21.03,0.26,0.25,8.02,7.97,0.18,0.17,0.61,0.61,2.94
12M 2017,15.71,1016.19,134.31,897.59,23.23,19.68,0.36,0.34,12.97,13.34,0.25,0.23,1.0,1.0,2.37
12M 2018,21.54,1650.89,285.32,1387.11,16.95,20.23,0.22,0.21,9.15,9.64,0.14,0.13,0.45,0.45,3.36
12M 2019,12.2,1737.34,167.96,1581.58,29.91,37.05,0.21,0.2,10.83,11.15,0.13,0.13,0.39,0.39,3.94
12M 2020,9.44,1974.86,154.16,1830.14,38.65,46.03,0.18,0.18,10.16,10.42,0.11,0.1,0.38,0.38,2.37
12M 2021,6.53,1412.19,128.08,1290.64,55.92,57.09,0.26,0.25,13.73,14.27,0.13,0.13,0.44,0.44,2.59
12M 2022,5.64,1309.65,107.73,1207.56,64.7,57.38,0.28,0.27,18.98,18.79,0.16,0.16,0.56,0.56,2.61
12M 2023,7.01,958.05,68.72,896.34,52.06,45.79,0.38,0.37,21.37,21.82,0.18,0.17,0.66,0.66,2.47
12M 2024,8.14,1142.17,87.38,1062.93,44.82,45.82,0.32,0.32,16.13,16.06,0.19,0.19,0.83,0.83,2.16
