Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,524 B,(37 B),487 B,46.87
12M 2009,166 B,(27 B),139 B,13.40
12M 2010,760 B,(50 B),710 B,40.57
12M 2011,985 B,(330 B),655 B,37.44
12M 2012,223 B,(106 B),116 B,6.64
12M 2013,549 B,"(1,377 B)",(828 B),-47.35
12M 2014,126 B,(348 B),(222 B),-12.08
12M 2015,(167 B),(767 B),(934 B),-48.55
12M 2016,(264 B),(752 B),"(1,016 B)",-52.81
12M 2017,"4,647 B","(2,343 B)","2,305 B",119.74
12M 2018,"1,617 B",(791 B),826 B,42.91
12M 2019,"2,017 B",(385 B),"1,632 B",84.82
12M 2020,"1,464 B",(133 B),"1,332 B",62.91
12M 2021,"3,306 B",(23 B),"3,283 B",155.04
12M 2022,"3,092 B",(198 B),"2,893 B",136.66
12M 2023,840 B,(633 B),208 B,9.82
12M 2024,916 B,(829 B),87 B,4.12
