Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2007,,,,,,,,,,,,,,,0.0
12M 2008,,,,,,,,,3.7,3.61,0.09,0.09,,,0.0
12M 2009,,,,,,,,,4.26,4.24,0.09,0.1,,,0.0
12M 2010,,,,,,,,,4.08,4.01,0.08,0.08,,,0.0
12M 2011,,,,,,,,,5.04,4.98,0.08,0.07,,,0.0
12M 2012,,,,,,,,,6.02,6.1,0.07,0.07,,,0.0
12M 2013,,,,,,,,,7.5,7.41,0.07,0.07,,,0.0
12M 2014,,,,,,,,,8.66,8.09,0.08,0.07,,,0.0
12M 2015,,,,,,,,,8.94,8.92,0.08,0.07,,,0.0
12M 2016,,,,,,,,,5.85,4.24,0.08,0.08,,,0.0
12M 2017,,,,,,,,,4.54,4.54,0.08,0.07,,,0.0
12M 2018,,,,,,,,,4.66,4.59,0.07,0.07,,,0.0
12M 2019,,,,,,,,,4.83,4.83,0.08,0.08,,,0.0
12M 2020,,,,,,,,,4.32,4.24,0.06,0.06,,,0.0
12M 2021,,,,,,,,,3.71,3.66,0.06,0.05,,,0.0
12M 2022,,,,,,,,,3.63,3.41,0.06,0.06,,,0.0
12M 2023,,,,,,,,,4.28,4.29,0.07,0.07,,,0.0
12M 2024,,,,,,,,,4.74,4.71,0.07,0.07,,,0.0
