Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,"(1,076 B)",(192 B),"(1,268 B)",-218.02
12M 2008,"4,858 B",(137 B),"4,721 B",811.87
12M 2009,"(2,778 B)",(117 B),"(2,895 B)",-497.89
12M 2010,"(2,088 B)",(131 B),"(2,220 B)",-381.73
12M 2011,"1,908 B",(132 B),"1,775 B",252.12
12M 2012,"2,198 B",(107 B),"2,091 B",244.58
12M 2013,"1,067 B",(191 B),876 B,76.36
12M 2014,"1,159 B",(317 B),842 B,73.36
12M 2015,"(1,280 B)",(251 B),"(1,531 B)",-133.45
12M 2016,"10,887 B",(232 B),"10,654 B",928.67
12M 2017,(340 B),(206 B),(546 B),-47.59
12M 2018,"8,319 B",(329 B),"7,990 B",348.23
12M 2019,"4,623 B",(187 B),"4,437 B",193.36
12M 2020,"5,285 B",(322 B),"4,964 B",216.33
12M 2021,"24,790 B",(381 B),"24,408 B",1063.76
12M 2022,"(11,605 B)",(792 B),"(12,397 B)",-540.28
12M 2023,790 B,(385 B),405 B,17.64
12M 2024,"36,997 B",(378 B),"36,619 B",1595.93
