Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,1.46,579.34,1.46,579.34,,,,,
12M 2008,1.06,624.41,1.06,624.41,,,,,
12M 2009,1.32,711.54,1.32,711.54,,,,,
12M 2010,2.06,779.51,2.06,779.51,,,,,
12M 2011,1.09,935.88,1.09,935.88,,,,,
12M 2012,1.45,1047.09,1.45,1047.09,,,,,
12M 2013,1.05,1176.41,1.05,1176.41,,,,,
12M 2014,1.05,1299.37,1.05,1299.37,,,,,
12M 2015,0.89,1430.48,0.89,1430.48,,,,,
12M 2016,1.22,1700.27,1.22,1700.27,,,,,
12M 2017,0.99,1898.81,0.99,1898.81,,,,,
12M 2018,0.80,1064.63,0.80,1064.63,,,,,
12M 2019,0.70,1205.68,0.70,1205.68,,,,,
12M 2020,0.63,1300.01,0.63,1300.01,,,,,
12M 2021,0.48,1408.89,0.48,1408.89,,,,,
12M 2022,0.50,1490.97,0.50,1490.97,,,,,
12M 2023,0.73,1626.47,0.73,1626.47,,,,,
12M 2024,0.74,1773.39,0.74,1773.39,,,,,
