Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,(72 B),(4 B),(76 B),-6350649.30
12M 2014,(132 B),(5 B),(138 B),-137.85
12M 2015,31 B,(3 B),28 B,27.54
12M 2016,117 B,(1 B),116 B,116.14
12M 2017,177 B,(0 B),176 B,175.96
12M 2018,(23 B),(2 B),(24 B),-24.27
12M 2019,(12 B),,(12 B),-12.00
12M 2020,21 B,,21 B,20.85
12M 2021,(14 B),(0 B),(14 B),-4.14
12M 2022,0 B,(0 B),0 B,0.08
12M 2023,10 B,(0 B),10 B,2.84
12M 2024,9 B,(1 B),8 B,2.31
