Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2013,1.18,1.18,4.12,5.3,0.0,0.0,3.94,0.78,4.3
12M 2014,1.36,1.36,2.37,3.47,0.0,0.0,2.29,0.68,2.47
12M 2015,1.41,1.41,2.17,3.28,0.0,0.0,2.06,0.66,2.28
12M 2016,1.38,1.38,2.59,3.78,0.0,0.0,2.48,0.69,2.78
12M 2017,0.44,0.28,2.5,4.12,0.0,0.0,2.46,0.61,3.15
12M 2018,0.28,0.2,7.4,10.21,0.0,0.0,7.35,0.72,9.38
12M 2019,0.02,0.01,-1.07,-0.9,-0.0,0.0,-1.07,1.19,-1.96
12M 2020,0.01,0.01,-0.0,-0.15,-0.0,0.0,0.01,0.0,-1.21
12M 2021,0.12,0.11,-10.46,-19.92,-0.0,0.0,-9.86,0.52,-21.34
12M 2022,1.07,0.98,2.57,5.22,0.0,0.0,2.11,0.49,3.51
12M 2023,1.36,1.31,2.82,5.61,0.0,0.0,1.87,0.5,3.84
12M 2024,0.21,0.18,2.29,4.24,0.0,0.0,2.17,0.54,3.2
